"name","city","country","country_code","iata","icao","latitude","longitude","altitude","apid","uid","timezone","dst","tz_id","type","source","airport_id","x","y","elevation","tz_database_timezone"
Sipaliwini Airport,Sipaliwini,Suriname,,"",SMSI,2.026438,-56.126412,744,5908,,-3.0,U,,airport,OurAirports,7338,,,,America/Paramaribo
Stoelmanseiland Airport,Stoelmans Eiland,Suriname,,SMZ,SMST,4.349999904632568,-54.41666793823242,187,5909,,-3.0,U,,airport,OurAirports,7339,,,,America/Paramaribo
Totness Airport,Totness,Suriname,,TOT,SMCO,5.865829944610596,-56.32749938964844,10,5910,,-3.0,U,,airport,OurAirports,7340,,,,America/Paramaribo
Wageningen Airstrip,Wageningen,Suriname,,AGI,SMWA,5.841128,-56.673328,6,5911,,-3.0,U,,airport,OurAirports,7341,,,,America/Paramaribo
Kaieteur International Airport,Kaieteur Falls,Guyana,,KIA,PSKA,5.163333,-59.483333,95,5912,,-4.0,U,,airport,User,7342,,,,America/Guyana
Codela Airport,Guapiles,Costa Rica,,"",MRCA,10.4139995575,-85.0916976929,328,5913,,-6.0,U,,airport,OurAirports,7343,,,,America/Costa_Rica
Newport News Amtrak Station,Newport News,United States,,"","",37.0228,-76.4519,0,5914,,-5.0,A,,station,User,7344,,,,America/New_York
Portland Union Station,Portland,United States,,"","",45.529,-122.6768,0,5915,,-8.0,A,,station,User,7345,,,,America/Los_Angeles
Orinduik Airport,Orinduik,Guyana,,ORJ,SYOR,4.725269794464111,-60.03499984741211,1797,5916,,-4.0,U,,airport,OurAirports,7346,,,,America/Guyana
Annai Airport,Annai,Guyana,,NAI,SYAN,3.959439992904663,-59.12419891357422,301,5917,,-4.0,U,,airport,OurAirports,7347,,,,America/Guyana
Apoteri Airport,Apoteri,Guyana,,"",SYAP,4.013879776000977,-58.60499954223633,301,5918,,-4.0,U,,airport,OurAirports,7348,,,,America/Guyana
Imbaimadai Airport,Imbaimadai,Guyana,,IMB,SYIB,5.7081098556518555,-60.2942008972168,1646,5919,,-4.0,U,,airport,OurAirports,7349,,,,America/Guyana
Kamarang Airport,Kamarang,Guyana,,KAR,SYKM,5.865340232849121,-60.614200592041016,1601,5920,,-4.0,U,,airport,OurAirports,7350,,,,America/Guyana
Mabaruma Airport,Mabaruma,Guyana,,USI,SYMB,8.199999809265137,-59.78329849243164,45,5921,,-4.0,U,,airport,OurAirports,7351,,,,America/Guyana
Mahdia Airport,Mahdia,Guyana,,MHA,SYMD,5.277490139007568,-59.151100158691406,300,5922,,-4.0,U,,airport,OurAirports,7352,,,,America/Guyana
Dr Augusto Roberto Fuster International Airport,Pedro Juan Caballero,Paraguay,,PJC,SGPJ,-22.639999389648438,-55.83000183105469,1873,5923,,-4.0,U,,airport,OurAirports,7353,,,,America/Asuncion
Alcides Fernández Airport,Acandi,Colombia,,ACD,SKAD,8.51667,-77.3,50,5924,,-5.0,U,,airport,OurAirports,7354,,,,America/Bogota
Los Colonizadores Airport,Saravena,Colombia,,RVE,SKSA,6.951868,-71.857179,680,5925,,-5.0,U,,airport,OurAirports,7355,,,,America/Bogota
La Chorrera Airport,La Chorrera,Colombia,,LCR,"",-0.733333,-73.016667,10,5926,,-5.0,U,,airport,User,7356,,,,America/Bogota
Batagay Airport,Batagay,Russia,,BQJ,UEBB,67.648002624512,134.69500732422,696,5927,,10.0,N,,airport,OurAirports,7357,,,,Asia/Vladivostok
La Macarena,La Macarena,Colombia,,LMC,"",2.179167,-73.7875,10,5928,,-5.0,U,,unknown,User,7358,,,,America/Bogota
